listing_id,property_id,city,state,locality,property_type,bhk,bedrooms,bathrooms,carpet_area_sqft,built_up_area_sqft,super_built_up_sqft,price_per_sqft,total_price_inr,total_price_lakh,furnishing_status,possession_status,floor_number,total_floors,age_of_property_years,facing,amenities_count,amenities,builder_name,transaction_type,listing_date,days_on_market,price_negotiable,loan_available,parking_count,rera_registered,listing_source
RES100000,PROP503743,Jaipur,Rajasthan,Pratap Nagar,Studio,2,2,3,1859,2138,2324,3739,7000000,70,Semi-Furnished,Under Construction,20,28,21,North,8,Children Play Area|Power Backup|Swimming Pool|Garden|Car Parking|Lift|Jogging Track|24x7 Security,Emaar India,New Property,18-10-2024,198,No,Yes,1,Yes,NoBroker
RES100001,PROP503762,Chandigarh,Chandigarh,Zone E,Row House,4,4,5,2654,3052,3318,3876,10300000,103,Unfurnished,Under Construction,1,3,23,South,3,Club House|Gym|Power Backup,Kolte Patil,New Property,26-02-2025,103,Yes,Yes,2,Yes,NoBroker
RES100002,PROP502828,Coimbatore,Tamil Nadu,Zone A,Penthouse,2,2,3,1379,1586,1724,4967,6800000,68,Furnished,Ready to Move,5,14,23,South-West,6,Jogging Track|Gym|Garden|Swimming Pool|Children Play Area|24x7 Security,Shapoorji Pallonji,Resale,26-01-2024,167,No,No,0,Yes,NoBroker
RES100003,PROP502217,Hyderabad,Telangana,Kukatpally,Builder Floor,2,2,3,1611,1853,2014,7053,11400000,114,Semi-Furnished,Ready to Move,2,4,24,North-West,3,Car Parking|Lift|Garden,Kolte Patil,New Property,06-10-2025,39,Yes,Yes,2,Yes,NoBroker
RES100004,PROP504652,Kochi,Kerala,Zone F,Studio,1,1,2,1398,1608,1748,4288,6000000,60,Unfurnished,Ready to Move,3,3,24,South,6,Children Play Area|Car Parking|Jogging Track|Club House|Garden|24x7 Security,Prestige Group,New Property,08-03-2025,349,Yes,Yes,0,Yes,NoBroker
RES100005,PROP505465,Coimbatore,Tamil Nadu,Zone A,Villa,5,5,5,2568,2953,3210,4401,11300000,113,Furnished,Under Construction,16,17,0,West,4,Swimming Pool|Gym|Club House|Jogging Track,Lodha Group,Resale,30-01-2024,171,Yes,Yes,2,No,NoBroker
RES100006,PROP502497,Chennai,Tamil Nadu,Adyar,Villa,2,2,3,1930,2220,2412,6351,12300000,123,Furnished,Under Construction,21,27,2,West,5,Swimming Pool|Children Play Area|Club House|Jogging Track|Gym,Phoenix Mills,Resale,22-06-2023,167,Yes,Yes,0,Yes,Housing.com
RES100007,PROP504915,Nagpur,Maharashtra,Zone H,Apartment,1,1,2,1464,1684,1830,3158,4600000,46,Unfurnished,Ready to Move,12,37,7,North-East,3,24x7 Security|Jogging Track|Power Backup,Prestige Group,New Property,02-01-2024,282,Yes,No,0,Yes,Owner
RES100008,PROP505943,Chandigarh,Chandigarh,Zone C,Independent House,2,2,3,1890,2174,2362,3172,6000000,60,Semi-Furnished,Under Construction,8,12,9,North-West,8,Lift|Gym|Car Parking|Power Backup|Jogging Track|24x7 Security|Garden|Swimming Pool,Shapoorji Pallonji,Resale,02-04-2024,273,Yes,Yes,1,Yes,99acres
RES100009,PROP505017,Chandigarh,Chandigarh,Zone J,Builder Floor,2,2,3,2027,2331,2534,4306,8700000,87,Semi-Furnished,Ready to Move,15,27,4,South-East,8,Gym|Garden|Lift|Swimming Pool|Car Parking|Jogging Track|Children Play Area|Club House,Emaar India,New Property,04-08-2024,381,Yes,No,1,Yes,Owner
RES100010,PROP502908,Bangalore,Karnataka,Marathahalli,Apartment,2,2,3,2047,2354,2559,10203,20900000,209,Furnished,Ready to Move,14,17,11,North-East,6,Swimming Pool|Garden|Club House|24x7 Security|Jogging Track|Gym,Kolte Patil,Resale,28-09-2023,375,Yes,Yes,2,Yes,Housing.com
RES100011,PROP500889,Visakhapatnam,Andhra Pradesh,Zone B,Apartment,2,2,3,1619,1862,2024,3952,6400000,64,Furnished,Under Construction,19,25,3,South-East,6,Swimming Pool|Lift|Garden|Car Parking|24x7 Security|Power Backup,Shapoorji Pallonji,Resale,25-05-2025,228,Yes,No,1,No,99acres
RES100012,PROP500036,Kochi,Kerala,Zone I,Builder Floor,5,5,5,2785,3203,3481,3214,9000000,90,Semi-Furnished,Ready to Move,14,19,25,North-West,8,Car Parking|Club House|Garden|Gym|Power Backup|Lift|Swimming Pool|Jogging Track,Omaxe,Resale,09-07-2025,92,No,Yes,1,Yes,MagicBricks
RES100013,PROP502912,Nagpur,Maharashtra,Zone G,Penthouse,5,5,5,2575,2961,3219,3892,10000000,100,Furnished,Under Construction,26,27,1,West,4,Garden|Swimming Pool|Power Backup|Lift,Tata Housing,New Property,01-07-2022,43,Yes,Yes,2,No,NoBroker
RES100014,PROP500836,Pune,Maharashtra,Kharadi,Builder Floor,4,4,5,2698,3103,3372,9474,25600000,256,Furnished,Ready to Move,4,6,1,West,8,Jogging Track|Children Play Area|Swimming Pool|24x7 Security|Car Parking|Garden|Club House|Gym,Brigade Group,Resale,15-06-2023,380,Yes,Yes,2,No,Owner
RES100015,PROP502797,Chandigarh,Chandigarh,Zone B,Studio,2,2,3,1877,2159,2346,4716,8900000,89,Unfurnished,Ready to Move,1,3,7,South-East,5,Car Parking|Power Backup|Swimming Pool|Garden|Jogging Track,Lodha Group,Resale,07-02-2022,139,Yes,No,1,No,Owner
RES100016,PROP503899,Nagpur,Maharashtra,Zone B,Studio,3,3,4,1822,2095,2278,3453,6300000,63,Furnished,Under Construction,11,23,11,South-West,5,Garden|24x7 Security|Lift|Swimming Pool|Car Parking,Raymond Realty,New Property,06-10-2023,287,Yes,Yes,1,Yes,99acres
RES100017,PROP505573,Delhi,Delhi,Hauz Khas,Independent House,4,4,5,2004,2305,2505,6809,13600000,136,Semi-Furnished,New Launch,7,8,16,West,4,Gym|Children Play Area|Club House|24x7 Security,Omaxe,Resale,31-07-2024,6,Yes,No,1,Yes,NoBroker
RES100018,PROP500742,Coimbatore,Tamil Nadu,Zone B,Penthouse,1,1,2,1448,1665,1810,3776,5500000,55,Semi-Furnished,Under Construction,3,36,25,South,3,Gym|Swimming Pool|Club House,Phoenix Mills,New Property,28-07-2025,185,Yes,No,1,No,Owner
RES100019,PROP505533,Delhi,Delhi,Connaught Place,Penthouse,5,5,5,2571,2957,3214,7575,19500000,195,Furnished,Under Construction,5,15,13,South-East,5,Jogging Track|Power Backup|Garden|Children Play Area|Lift,Raymond Realty,New Property,21-04-2023,276,Yes,Yes,0,Yes,Owner
RES100020,PROP501553,Surat,Gujarat,Udhna,Independent House,2,2,3,1725,1984,2156,3538,6100000,61,Semi-Furnished,Under Construction,5,10,23,North,3,Children Play Area|Club House|24x7 Security,Kolte Patil,New Property,02-03-2023,88,Yes,No,2,Yes,Owner
RES100021,PROP504069,Pune,Maharashtra,Kalyani Nagar,Apartment,1,1,2,1596,1835,1995,8951,14300000,143,Unfurnished,Ready to Move,22,40,16,North-East,4,Children Play Area|Car Parking|24x7 Security|Gym,Tata Housing,New Property,31-01-2022,35,No,Yes,1,Yes,NoBroker
RES100022,PROP502550,Kolkata,West Bengal,Dumdum,Apartment,1,1,2,1169,1344,1461,10787,12600000,126,Unfurnished,Under Construction,13,33,18,North,8,Car Parking|Lift|24x7 Security|Children Play Area|Gym|Power Backup|Swimming Pool|Jogging Track,Omaxe,Resale,16-08-2022,318,Yes,Yes,2,No,Housing.com
RES100023,PROP504146,Jaipur,Rajasthan,Tonk Road,Independent House,5,5,5,2674,3075,3342,4842,12900000,129,Unfurnished,Ready to Move,8,20,16,North,6,Garden|Children Play Area|Power Backup|Car Parking|Club House|24x7 Security,DLF,Resale,03-03-2023,141,Yes,Yes,2,Yes,Owner
RES100024,PROP500963,Mumbai,Maharashtra,Kurla,Penthouse,1,1,2,1246,1433,1558,17728,22100000,221,Unfurnished,Ready to Move,2,4,22,South,7,Garden|Swimming Pool|Lift|Jogging Track|Children Play Area|Power Backup|Club House,Mahindra Lifespaces,New Property,16-06-2023,262,Yes,Yes,1,Yes,Housing.com
RES100025,PROP503965,Chandigarh,Chandigarh,Zone H,Studio,4,4,5,2353,2706,2941,3319,7800000,78,Furnished,New Launch,17,20,13,North-East,4,Club House|Lift|Jogging Track|Car Parking,Hiranandani,Resale,31-03-2024,50,Yes,No,0,Yes,99acres
RES100026,PROP505026,Chandigarh,Chandigarh,Zone C,Villa,2,2,3,1712,1969,2140,3181,5400000,54,Unfurnished,New Launch,1,3,13,North-West,7,Children Play Area|Jogging Track|Lift|Car Parking|Club House|24x7 Security|Gym,Kolte Patil,New Property,02-02-2023,36,Yes,No,1,No,99acres
