rental_id,property_id,city,state,locality,property_type,bhk,bedrooms,bathrooms,carpet_area_sqft,built_up_area_sqft,monthly_rent_inr,security_deposit_inr,deposit_months,maintenance_charges,total_monthly_cost,rent_per_sqft,furnishing_status,available_from,preferred_tenant,non_veg_allowed,pets_allowed,floor_number,total_floors,facing,parking,amenities_count,listing_date,broker_required,brokerage_percent,annual_rent_inr,listing_source
RNT200000,PROP500660,Patna,Bihar,Zone B,Builder Floor,3,3,4,1712,1969,15500,77500,5,3500,19000,9.05,Furnished,18-09-2025,Bachelors,Yes,No,27,27,North-West,Yes,8,03-06-2023,Yes,1,186000,NoBroker
RNT200001,PROP502660,Bangalore,Karnataka,Marathahalli,Penthouse,3,3,4,2170,2496,35000,105000,3,1500,36500,16.13,Unfurnished,14-12-2024,Working Professionals,Yes,Yes,1,22,North,Yes,8,13-08-2024,No,0,420000,99acres
RNT200002,PROP500508,Chennai,Tamil Nadu,T Nagar,Studio,1,1,2,1411,1623,27000,270000,10,3000,30000,19.14,Semi-Furnished,03-03-2024,Bachelors,Yes,Yes,10,23,North-East,Yes,5,20-09-2024,Yes,0.5,324000,Housing.com
RNT200003,PROP501511,Nagpur,Maharashtra,Zone A,Row House,1,1,2,1342,1543,6500,65000,10,3500,10000,4.84,Semi-Furnished,02-06-2025,Family,Yes,No,15,38,North,Yes,4,19-07-2023,Yes,2,78000,99acres
RNT200004,PROP504538,Delhi,Delhi,Dwarka,Independent House,2,2,3,1709,1965,32000,64000,2,0,32000,18.72,Semi-Furnished,18-04-2025,Working Professionals,Yes,No,2,3,North-West,No,4,07-12-2025,No,0,384000,Housing.com
RNT200005,PROP501130,Indore,Madhya Pradesh,Zone D,Studio,4,4,5,2321,2669,17500,175000,10,0,17500,7.54,Unfurnished,25-12-2024,Any,Yes,Yes,2,2,North,Yes,3,25-01-2024,No,0,210000,MagicBricks
RNT200006,PROP503297,Coimbatore,Tamil Nadu,Zone A,Apartment,3,3,4,1902,2187,14500,145000,10,3000,17500,7.62,Semi-Furnished,02-08-2025,Family,No,No,19,31,North-West,Yes,8,05-03-2023,Yes,1,174000,99acres
RNT200007,PROP503418,Indore,Madhya Pradesh,Zone F,Penthouse,4,4,5,2246,2583,17500,52500,3,1500,19000,7.79,Semi-Furnished,22-02-2025,Working Professionals,No,Yes,2,7,South-West,Yes,8,15-11-2023,Yes,1,210000,99acres
RNT200008,PROP501353,Ahmedabad,Gujarat,Gota,Row House,1,1,2,1471,1692,6000,18000,3,2500,8500,4.08,Furnished,27-08-2024,Bachelors,Yes,No,18,25,South-East,Yes,7,03-04-2023,No,0.5,72000,99acres
RNT200009,PROP501003,Ahmedabad,Gujarat,Maninagar,Villa,2,2,3,1254,1442,14500,43500,3,3500,18000,11.56,Unfurnished,08-03-2025,Any,No,No,9,16,South,No,4,17-01-2025,No,0,174000,Owner
RNT200010,PROP504102,Nagpur,Maharashtra,Zone J,Villa,2,2,3,1970,2266,14500,29000,2,3000,17500,7.36,Semi-Furnished,08-11-2025,Bachelors,No,No,3,6,South-East,Yes,6,26-07-2023,No,2,174000,99acres
RNT200011,PROP505999,Vadodara,Gujarat,Zone H,Penthouse,4,4,5,2276,2617,12500,125000,10,2500,15000,5.49,Furnished,27-05-2025,Any,No,No,3,19,South-West,No,5,19-12-2024,Yes,0,150000,MagicBricks
RNT200012,PROP502289,Nagpur,Maharashtra,Zone I,Villa,3,3,4,1559,1793,13500,40500,3,2000,15500,8.66,Semi-Furnished,04-02-2024,Bachelors,Yes,Yes,11,11,North,Yes,6,24-04-2023,No,0,162000,Owner
RNT200013,PROP505508,Hyderabad,Telangana,Banjara Hills,Studio,5,5,5,2731,3141,32500,65000,2,3000,35500,11.9,Semi-Furnished,17-01-2025,Bachelors,Yes,No,10,33,South,No,4,28-09-2025,Yes,0.5,390000,Housing.com
RNT200014,PROP502243,Nagpur,Maharashtra,Zone A,Builder Floor,1,1,2,1327,1526,5500,55000,10,3500,9000,4.14,Unfurnished,27-01-2024,Family,Yes,Yes,13,15,North-East,No,5,16-08-2025,Yes,0,66000,NoBroker
RNT200015,PROP501887,Lucknow,Uttar Pradesh,Zone I,Penthouse,3,3,4,1981,2278,18000,180000,10,3000,21000,9.09,Semi-Furnished,20-12-2025,Bachelors,Yes,Yes,18,29,South-East,Yes,6,03-05-2024,No,0.5,216000,MagicBricks
RNT200016,PROP505530,Hyderabad,Telangana,Gachibowli,Apartment,1,1,2,1224,1408,24000,120000,5,3000,27000,19.61,Furnished,30-10-2024,Bachelors,Yes,No,6,23,North,No,7,13-12-2024,Yes,0,288000,Owner
RNT200017,PROP502432,Mumbai,Maharashtra,Powai,Villa,2,2,3,2167,2492,60000,360000,6,2500,62500,27.69,Unfurnished,21-01-2024,Working Professionals,Yes,No,35,35,East,Yes,7,15-01-2024,Yes,0,720000,NoBroker
RNT200018,PROP505557,Pune,Maharashtra,Kalyani Nagar,Penthouse,2,2,3,1780,2047,31500,157500,5,2500,34000,17.7,Unfurnished,29-04-2025,Working Professionals,Yes,No,10,20,South-East,No,7,22-02-2023,No,1,378000,MagicBricks
RNT200019,PROP504168,Bhopal,Madhya Pradesh,Zone E,Apartment,3,3,4,1640,1886,16500,82500,5,2000,18500,10.06,Semi-Furnished,06-05-2024,Any,Yes,No,5,15,South-West,Yes,5,18-07-2024,No,2,198000,MagicBricks
RNT200020,PROP501271,Nagpur,Maharashtra,Zone F,Builder Floor,2,2,3,1627,1871,11000,33000,3,2000,13000,6.76,Semi-Furnished,12-06-2025,Working Professionals,Yes,Yes,1,16,North,Yes,3,21-06-2024,No,2,132000,Owner
RNT200021,PROP502954,Patna,Bihar,Zone D,Row House,1,1,2,1292,1486,8000,48000,6,0,8000,6.19,Semi-Furnished,14-05-2025,Any,No,No,9,18,South-East,Yes,8,31-10-2024,Yes,0,96000,99acres
RNT200022,PROP503116,Patna,Bihar,Zone G,Builder Floor,2,2,3,1721,1979,15500,77500,5,3000,18500,9.01,Semi-Furnished,07-11-2025,Any,No,No,7,29,West,No,3,27-03-2023,No,1,186000,99acres
