transaction_id,property_id,listing_id,city,state,locality,property_type,bhk,carpet_area_sqft,built_up_area_sqft,listed_price_inr,sale_price_inr,price_per_sqft,discount_percent,sale_date,sale_year,sale_quarter,stamp_duty_percent,stamp_duty_inr,registration_charges_inr,total_transaction_cost,transaction_type,financing_type,loan_amount_inr,builder_name,possession_status,age_of_property_years,yoy_price_appreciation_pct,cap_rate_percent,rera_registered,facing,floor_number,market_segment
TXN300000,PROP500290,RES101402,Visakhapatnam,Andhra Pradesh,Zone A,Row House,2,1832,2107,8300000,7490000,4088,9.75,2025-04-16,2025,Q2,6,449400,74900,8014300,Resale,Institutional,5565521,Emaar India,Ready to Move,10,5.97,5.76,Yes,South,31,Mid
TXN300001,PROP504631,RES100548,Coimbatore,Tamil Nadu,Zone D,Villa,3,2147,2469,9500000,8870000,4131,6.61,2026-07-18,2026,Q3,4,354800,88700,9313500,New Property,Cash,6695253,Brigade Group,Ready to Move,14,5.72,2.65,No,West,9,Mid
TXN300002,PROP502352,RES101482,Pune,Maharashtra,Undri,Villa,3,2152,2475,19800000,18880000,8773,4.64,2022-12-28,2022,Q4,5,944000,188800,20012800,Resale,NRI,13341478,Raymond Realty,Ready to Move,0,4.49,5.51,Yes,South-East,3,Luxury
TXN300003,PROP504751,RES106550,Mumbai,Maharashtra,Powai,Apartment,4,2328,2677,41200000,40850000,17547,0.85,2022-05-24,2022,Q2,5,2042500,408500,43301000,New Property,NRI,0,Kolte Patil,Ready to Move,16,10.54,2.83,No,South-West,30,Luxury
TXN300004,PROP504101,RES104961,Bangalore,Karnataka,Whitefield,Apartment,4,2187,2515,15200000,14270000,6525,6.14,2023-02-25,2023,Q1,7,998900,142700,15411600,New Property,Cash,11482579,Tata Housing,Under Construction,10,1.57,6.25,Yes,South,12,Mid
TXN300005,PROP504991,RES105857,Lucknow,Uttar Pradesh,Zone B,Independent House,5,2468,2838,10600000,10040000,4068,5.33,2022-09-08,2022,Q3,6,602400,100400,10742800,Resale,Home Loan,7098996,Brigade Group,Ready to Move,21,9.35,3.09,Yes,South-East,13,Mid
TXN300006,PROP502542,RES100675,Ahmedabad,Gujarat,Satellite,Studio,2,1599,1839,7800000,7350000,4597,5.78,2022-10-15,2022,Q4,6,441000,73500,7864500,New Property,NRI,5524133,Tata Housing,Ready to Move,22,8.88,5.77,Yes,North-East,4,Mid
TXN300007,PROP500746,RES104046,Bangalore,Karnataka,Whitefield,Villa,3,1871,2152,11700000,11030000,5895,5.76,2022-12-25,2022,Q4,5,551500,110300,11691800,Resale,Cash,8492213,Omaxe,Under Construction,21,8.41,3.13,Yes,North-East,1,Mid
TXN300008,PROP501515,RES101015,Patna,Bihar,Zone E,Independent House,1,1500,1725,5300000,5230000,3487,1.28,2025-07-14,2025,Q3,7,366100,52300,5648400,Resale,Home Loan,4343713,Prestige Group,Under Construction,19,12.97,6.08,No,West,10,Mid
TXN300009,PROP504119,RES106104,Bangalore,Karnataka,Koramangala,Villa,1,1292,1486,10700000,9690000,7500,9.48,2025-09-02,2025,Q3,7,678300,96900,10465200,New Property,Cash,7353323,Emaar India,Under Construction,1,8.05,4.57,Yes,North-East,6,Mid
TXN300010,PROP505172,RES102468,Hyderabad,Telangana,Manikonda,Penthouse,1,1494,1718,11700000,10760000,7202,8.01,2024-08-16,2024,Q3,5,538000,107600,11405600,New Property,NRI,8532689,Tata Housing,New Launch,12,8.91,4.47,No,South-East,10,Mid
TXN300011,PROP504109,RES103611,Bhopal,Madhya Pradesh,Zone C,Penthouse,3,2024,2328,9900000,9550000,4718,3.57,2025-12-14,2025,Q4,7,668500,95500,10314000,Resale,Home Loan,0,Hiranandani,Ready to Move,10,13.7,4.0,No,South,18,Mid
TXN300012,PROP502378,RES103535,Vadodara,Gujarat,Zone H,Studio,4,1864,2144,6700000,6480000,3476,3.3,2023-08-07,2023,Q3,6,388800,64800,6933600,New Property,NRI,0,Sobha Limited,Under Construction,6,9.85,2.9,Yes,North-West,2,Mid
TXN300013,PROP505084,RES102767,Kochi,Kerala,Zone E,Row House,4,2186,2514,6200000,5990000,2740,3.4,2025-03-23,2025,Q1,6,359400,59900,6409300,New Property,Cash,4513298,Shapoorji Pallonji,New Launch,0,16.28,3.66,Yes,South-West,6,Mid
TXN300014,PROP503865,RES104057,Vadodara,Gujarat,Zone F,Villa,2,1585,1823,6900000,6480000,4088,6.07,2025-12-08,2025,Q4,6,388800,64800,6933600,New Property,Home Loan,0,Phoenix Mills,Ready to Move,2,-5.13,6.06,No,North-West,7,Mid
TXN300015,PROP504775,RES101538,Vadodara,Gujarat,Zone H,Independent House,5,2645,3042,12600000,11520000,4355,8.56,2024-02-21,2024,Q1,6,691200,115200,12326400,New Property,Institutional,8111046,Lodha Group,Ready to Move,10,13.33,3.33,Yes,South-West,3,Mid
TXN300016,PROP500642,RES100951,Chennai,Tamil Nadu,Chromepet,Apartment,1,1232,1417,8400000,7700000,6250,8.39,2023-07-26,2023,Q3,7,539000,77000,8316000,Resale,Cash,0,Godrej Properties,New Launch,1,7.94,3.37,No,North-East,11,Mid
TXN300017,PROP505118,RES100632,Surat,Gujarat,Citylight,Row House,2,1519,1747,6800000,6320000,4161,7.0,2025-04-09,2025,Q2,7,442400,63200,6825600,Resale,Institutional,0,Kolte Patil,Ready to Move,16,12.29,5.45,Yes,South-West,1,Mid
TXN300018,PROP501768,RES102929,Pune,Maharashtra,Kalyani Nagar,Independent House,2,1225,1409,11400000,11300000,9224,0.88,2025-11-22,2025,Q4,5,565000,113000,11978000,New Property,NRI,8258354,Shapoorji Pallonji,New Launch,5,4.36,3.25,Yes,North,22,Mid
TXN300019,PROP502759,RES104099,Lucknow,Uttar Pradesh,Zone A,Independent House,2,1478,1700,5300000,4830000,3268,8.78,2024-05-28,2024,Q2,4,193200,48300,5071500,New Property,NRI,4068572,Brigade Group,New Launch,0,16.16,4.96,Yes,South-West,3,Affordable
TXN300020,PROP503731,RES102908,Delhi,Delhi,Vasant Kunj,Builder Floor,3,2398,2758,21100000,19250000,8028,8.75,2025-07-31,2025,Q3,5,962500,192500,20405000,Resale,Home Loan,16199818,Shapoorji Pallonji,New Launch,11,9.04,6.33,Yes,East,1,Luxury
TXN300021,PROP500178,RES101884,Bhopal,Madhya Pradesh,Zone I,Villa,3,2301,2646,7400000,7110000,3090,3.88,2023-10-13,2023,Q4,6,426600,71100,7607700,New Property,Cash,5887277,Emaar India,New Launch,21,15.13,6.31,Yes,North-East,10,Mid
TXN300022,PROP503749,RES103624,Bhopal,Madhya Pradesh,Zone F,Apartment,2,1604,1845,7400000,7010000,4370,5.26,2024-10-30,2024,Q4,4,280400,70100,7360500,Resale,Home Loan,5857973,Kolte Patil,New Launch,0,13.9,3.82,Yes,North,9,Mid
TXN300023,PROP503623,RES100145,Chennai,Tamil Nadu,Velachery,Row House,3,2156,2479,15000000,14980000,6948,0.16,2024-01-17,2024,Q1,4,599200,149800,15729000,Resale,Cash,0,Lodha Group,Ready to Move,0,5.79,5.18,Yes,South-East,6,Mid
TXN300024,PROP504425,RES100765,Patna,Bihar,Zone E,Builder Floor,2,1932,2222,8200000,7760000,4017,5.33,2025-08-05,2025,Q3,7,543200,77600,8380800,New Property,Cash,5478524,Sobha Limited,Ready to Move,24,14.19,4.28,Yes,South-West,1,Mid
TXN300025,PROP502445,RES104598,Lucknow,Uttar Pradesh,Zone A,Apartment,3,2110,2426,6400000,6040000,2863,5.59,2025-05-08,2025,Q2,5,302000,60400,6402400,Resale,NRI,4255652,Godrej Properties,Under Construction,16,7.31,3.33,Yes,South,13,Mid
TXN300026,PROP505693,RES104687,Bhopal,Madhya Pradesh,Zone H,Studio,4,2176,2502,8500000,7890000,3626,7.14,2022-04-03,2022,Q2,4,315600,78900,8284500,Resale,NRI,6294895,Lodha Group,Ready to Move,19,2.56,6.4,Yes,West,5,Mid
TXN300027,PROP501001,RES101092,Indore,Madhya Pradesh,Zone G,Studio,3,1899,2184,8400000,7690000,4049,8.43,2023-01-06,2023,Q1,4,307600,76900,8074500,New Property,NRI,0,Prestige Group,New Launch,19,16.59,5.94,Yes,East,3,Mid
TXN300028,PROP505516,RES102473,Hyderabad,Telangana,Banjara Hills,Villa,5,2443,2809,17000000,16480000,6746,3.06,2023-01-28,2023,Q1,6,988800,164800,17633600,New Property,Home Loan,0,Tata Housing,Ready to Move,3,14.01,5.05,Yes,South-East,22,Luxury
TXN300029,PROP501976,RES100258,Coimbatore,Tamil Nadu,Zone B,Studio,5,2489,2862,10800000,10380000,4170,3.85,2023-02-17,2023,Q1,7,726600,103800,11210400,New Property,Institutional,7755143,Omaxe,New Launch,12,1.66,2.62,Yes,South,4,Mid
TXN300030,PROP500521,RES101114,Lucknow,Uttar Pradesh,Zone G,Villa,3,1796,2065,7700000,7440000,4143,3.36,2025-05-12,2025,Q2,7,520800,74400,8035200,Resale,Institutional,6162211,DLF,New Launch,4,13.01,2.59,Yes,North-East,18,Mid
TXN300031,PROP503764,RES106939,Visakhapatnam,Andhra Pradesh,Zone C,Studio,3,2146,2468,8700000,8340000,3886,4.16,2024-07-02,2024,Q3,5,417000,83400,8840400,Resale,Cash,0,Raymond Realty,Under Construction,10,10.93,5.19,Yes,North-West,15,Mid
TXN300032,PROP503004,RES106354,Hyderabad,Telangana,Banjara Hills,Villa,4,2254,2592,17500000,17210000,7635,1.66,2023-07-16,2023,Q3,5,860500,172100,18242600,New Property,Home Loan,12683137,Prestige Group,Ready to Move,22,12.34,5.6,No,West,2,Luxury
TXN300033,PROP504018,RES106572,Kochi,Kerala,Zone I,Apartment,3,1956,2249,5400000,5070000,2592,6.06,2023-12-05,2023,Q4,7,354900,50700,5475600,Resale,Cash,3732003,DLF,Under Construction,15,7.52,2.65,Yes,North-West,3,Mid
TXN300034,PROP500957,RES103513,Bhopal,Madhya Pradesh,Zone E,Villa,5,2646,3043,9500000,8650000,3269,8.95,2024-02-01,2024,Q1,7,605500,86500,9342000,New Property,Home Loan,7036016,Prestige Group,New Launch,5,8.17,3.74,Yes,North-West,10,Mid
TXN300035,PROP504270,RES101762,Jaipur,Rajasthan,Pratap Nagar,Independent House,2,1911,2198,8900000,8340000,4364,6.29,2025-08-14,2025,Q3,6,500400,83400,8923800,Resale,Institutional,5965119,Omaxe,Under Construction,19,8.2,3.82,Yes,South,19,Mid
TXN300036,PROP500986,RES102068,Coimbatore,Tamil Nadu,Zone A,Studio,2,1708,1964,7100000,7000000,4098,1.34,2022-08-14,2022,Q3,5,350000,70000,7420000,New Property,Home Loan,0,Lodha Group,Under Construction,1,15.01,4.48,No,South-West,4,Mid
TXN300037,PROP505438,RES101570,Indore,Madhya Pradesh,Zone D,Apartment,4,2418,2781,10700000,10100000,4177,5.58,2023-03-06,2023,Q1,4,404000,101000,10605000,Resale,Institutional,7166176,Godrej Properties,New Launch,20,12.21,4.82,Yes,North-West,17,Mid
TXN300038,PROP501462,RES101523,Coimbatore,Tamil Nadu,Zone H,Apartment,3,2037,2343,6800000,6190000,3039,9.01,2026-03-13,2026,Q1,6,371400,61900,6623300,New Property,Cash,4617600,Phoenix Mills,Under Construction,6,1.08,2.71,Yes,North,8,Mid
TXN300039,PROP502299,RES102923,Delhi,Delhi,Saket,Independent House,1,1481,1703,10900000,10250000,6921,5.95,2026-08-05,2026,Q3,4,410000,102500,10762500,New Property,Home Loan,7933013,DLF,Under Construction,15,4.36,4.12,Yes,North-West,4,Mid
TXN300040,PROP503219,RES104151,Kolkata,West Bengal,Park Street,Independent House,3,1990,2288,19400000,18940000,9518,2.38,2025-10-30,2025,Q4,4,757600,189400,19887000,New Property,NRI,14757990,Hiranandani,New Launch,12,13.58,3.18,Yes,North,2,Luxury
TXN300041,PROP503867,RES103695,Jaipur,Rajasthan,Sirsi Road,Penthouse,4,2224,2558,12100000,11560000,5198,4.5,2024-04-30,2024,Q2,6,693600,115600,12369200,Resale,NRI,9000450,DLF,Under Construction,11,7.59,4.27,No,North-West,1,Mid
TXN300042,PROP500362,RES101722,Kochi,Kerala,Zone A,Penthouse,3,2020,2323,6800000,6580000,3257,3.25,2024-03-07,2024,Q1,5,329000,65800,6974800,Resale,NRI,5549366,Hiranandani,Ready to Move,10,3.15,5.99,Yes,East,30,Mid
TXN300043,PROP504408,RES103368,Kolkata,West Bengal,Salt Lake,Penthouse,2,1857,2136,14700000,13750000,7404,6.49,2025-05-06,2025,Q2,4,550000,137500,14437500,Resale,NRI,10111982,Brigade Group,New Launch,1,12.26,3.73,Yes,South-West,7,Mid
TXN300044,PROP503579,RES104693,Jaipur,Rajasthan,Malviya Nagar,Villa,1,1311,1508,6400000,6230000,4752,2.71,2023-12-14,2023,Q4,6,373800,62300,6666100,New Property,NRI,5286240,Hiranandani,Under Construction,23,3.95,6.18,No,North-East,3,Mid
TXN300045,PROP504971,RES104490,Pune,Maharashtra,Hinjewadi,Builder Floor,2,1459,1678,11100000,10470000,7176,5.64,2024-05-30,2024,Q2,4,418800,104700,10993500,New Property,Cash,7738367,Hiranandani,New Launch,4,-0.03,3.76,Yes,West,12,Mid
TXN300046,PROP501646,RES104162,Surat,Gujarat,Katargam,Penthouse,2,1552,1785,6400000,5920000,3814,7.56,2026-01-04,2026,Q1,7,414400,59200,6393600,Resale,NRI,4629718,Emaar India,New Launch,17,5.91,3.74,Yes,North-East,13,Mid
TXN300047,PROP501569,RES105942,Kochi,Kerala,Zone F,Penthouse,1,1610,1851,6000000,5630000,3497,6.19,2022-09-09,2022,Q3,7,394100,56300,6080400,New Property,NRI,4758353,Phoenix Mills,Ready to Move,10,6.9,3.42,Yes,North,6,Mid
TXN300048,PROP502760,RES104426,Kolkata,West Bengal,Behala,Builder Floor,1,1255,1443,12500000,11630000,9267,6.94,2025-02-20,2025,Q1,7,814100,116300,12560400,Resale,NRI,8837867,Shapoorji Pallonji,Ready to Move,3,5.75,4.02,No,North,12,Mid
TXN300049,PROP500897,RES106074,Lucknow,Uttar Pradesh,Zone C,Builder Floor,4,2443,2809,12000000,11320000,4634,5.67,2022-03-30,2022,Q1,7,792400,113200,12225600,New Property,Home Loan,9284814,Shapoorji Pallonji,Ready to Move,4,2.95,3.67,Yes,North-East,26,Mid
TXN300050,PROP502318,RES101665,Chennai,Tamil Nadu,Velachery,Builder Floor,2,1641,1887,12400000,11900000,7252,4.03,2022-08-26,2022,Q3,6,714000,119000,12733000,Resale,Home Loan,0,Hiranandani,New Launch,0,11.01,3.4,Yes,North,28,Mid
TXN300051,PROP500601,RES101410,Lucknow,Uttar Pradesh,Zone F,Builder Floor,3,1873,2154,8000000,7800000,4164,2.47,2022-09-18,2022,Q3,4,312000,78000,8190000,New Property,Cash,5571882,Shapoorji Pallonji,Ready to Move,3,11.12,4.44,No,South,9,Mid
TXN300052,PROP502203,RES100280,Jaipur,Rajasthan,Jagatpura,Independent House,1,1268,1458,5700000,5530000,4361,3.05,2024-12-25,2024,Q4,6,331800,55300,5917100,Resale,NRI,0,Omaxe,Ready to Move,7,7.21,2.74,Yes,South-West,13,Mid
TXN300053,PROP503776,RES103193,Jaipur,Rajasthan,Pratap Nagar,Villa,2,1973,2269,8600000,7750000,3928,9.94,2025-10-14,2025,Q4,4,310000,77500,8137500,New Property,Home Loan,5673993,Shapoorji Pallonji,Ready to Move,10,9.8,4.28,Yes,West,9,Mid
TXN300054,PROP502627,RES105025,Ahmedabad,Gujarat,Thaltej,Apartment,1,1294,1488,5500000,5030000,3887,8.48,2026-04-29,2026,Q2,5,251500,50300,5331800,Resale,NRI,4232183,Shapoorji Pallonji,Under Construction,10,11.32,5.04,No,North-East,13,Mid
TXN300055,PROP503502,RES106269,Ahmedabad,Gujarat,Bopal,Penthouse,3,2171,2497,11600000,10590000,4878,8.69,2024-07-25,2024,Q3,4,423600,105900,11119500,New Property,Institutional,7886376,Godrej Properties,Under Construction,16,14.77,5.68,Yes,South,30,Mid
TXN300056,PROP505500,RES104584,Ahmedabad,Gujarat,Thaltej,Studio,2,1760,2024,8500000,7740000,4398,8.89,2026-09-13,2026,Q3,7,541800,77400,8359200,New Property,Cash,6485065,Lodha Group,Under Construction,2,8.29,4.56,Yes,South-West,5,Mid
TXN300057,PROP500563,RES104304,Patna,Bihar,Zone H,Apartment,2,1728,1987,5400000,4910000,2841,9.04,2025-07-08,2025,Q3,4,196400,49100,5155500,Resale,Cash,3850322,Kolte Patil,Under Construction,12,12.97,6.45,Yes,South,2,Affordable
TXN300058,PROP504676,RES103637,Pune,Maharashtra,Kharadi,Builder Floor,2,1759,2023,16400000,15030000,8545,8.34,2023-01-27,2023,Q1,5,751500,150300,15931800,Resale,Cash,10591612,Prestige Group,New Launch,2,6.36,4.17,No,West,7,Luxury
TXN300059,PROP500493,RES104402,Lucknow,Uttar Pradesh,Zone E,Penthouse,1,1223,1406,4600000,4580000,3745,0.5,2025-01-16,2025,Q1,7,320600,45800,4946400,New Property,Cash,0,Kolte Patil,Ready to Move,23,6.51,2.94,No,West,5,Affordable
TXN300060,PROP501798,RES104181,Nagpur,Maharashtra,Zone D,Builder Floor,4,2189,2517,8800000,8680000,3965,1.38,2023-01-28,2023,Q1,5,434000,86800,9200800,Resale,NRI,7138620,Emaar India,Ready to Move,0,10.24,5.48,Yes,West,1,Mid
TXN300061,PROP504131,RES103440,Ahmedabad,Gujarat,SG Highway,Independent House,2,1677,1929,7200000,7140000,4258,0.8,2022-07-08,2022,Q3,5,357000,71400,7568400,New Property,Home Loan,5207551,Brigade Group,Under Construction,18,13.11,4.52,No,South-East,4,Mid
TXN300062,PROP501057,RES103491,Nagpur,Maharashtra,Zone B,Penthouse,1,1643,1889,7000000,6700000,4078,4.3,2023-04-19,2023,Q2,5,335000,67000,7102000,New Property,Cash,0,DLF,Under Construction,7,9.99,5.58,Yes,South-East,8,Mid
TXN300063,PROP502991,RES100107,Bhopal,Madhya Pradesh,Zone B,Penthouse,3,1738,1999,7300000,7200000,4143,1.42,2024-12-26,2024,Q4,5,360000,72000,7632000,New Property,Home Loan,5433167,Mahindra Lifespaces,New Launch,6,15.34,4.63,No,South,4,Mid
TXN300064,PROP504664,RES102284,Bangalore,Karnataka,Electronic City,Apartment,2,1907,2193,12900000,12290000,6445,4.69,2025-09-19,2025,Q3,5,614500,122900,13027400,New Property,NRI,8679187,Prestige Group,Under Construction,20,13.4,4.78,No,North-East,5,Mid
TXN300065,PROP503020,RES100320,Lucknow,Uttar Pradesh,Zone E,Studio,1,1478,1700,5800000,5250000,3552,9.42,2023-06-29,2023,Q2,6,315000,52500,5617500,New Property,Institutional,3939857,Brigade Group,Ready to Move,20,6.21,2.83,Yes,East,2,Mid
TXN300066,PROP503514,RES104592,Indore,Madhya Pradesh,Zone E,Builder Floor,1,1308,1504,4700000,4290000,3280,8.64,2025-06-07,2025,Q2,7,300300,42900,4633200,Resale,Cash,3129433,Brigade Group,Under Construction,25,12.4,4.89,No,North-East,11,Affordable
